ID,Vote1,Vote2,Vote3,Vote4,Vote5,Vote6,Vote7,Vote8,Vote9,Vote10,Vote11,Vote12,Vote13,Vote14,Vote15,Vote16,Party
501,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1
502,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0
503,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0
504,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0
505,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1
506,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1
507,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0
508,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0
509,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,1
510,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0
511,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1
512,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1
513,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1
514,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0
515,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1
516,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0
517,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
518,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0
519,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1
520,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0
521,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1
522,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1
523,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1
524,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0
525,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1
